region,subregion,station,variable,stat,spatAggFun,timeAggLength,timeAggFun,timeLag
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,0
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,1
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,2
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,3
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,4
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,5
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,6
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,7
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,8
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,9
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,10
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,11
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,12
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,13
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,14
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,15
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,16
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,17
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,18
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,19
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,20
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,21
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,22
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,23
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,24
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,25
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,26
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,27
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,28
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,29
,,salvage,expandedSalvage_WRLAD_wild_full,,mean,1,mean,30
